ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1974,11944100,7990710,,1.05E+13,,305285,,0.025559481,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1975,12236200,8124580,,1.30E+13,,259740,,0.021227178,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1976,13063400,8294150,,1.85E+13,,357600,,0.02737419,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1977,14356100,8330970,,2.30E+13,,806484,,0.056177095,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1978,15362300,8568720,,2.20E+13,,954094,,0.062106195,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1979,16506600,9216180,,2.36E+13,,1198751,,0.072622527,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1980,17814500,10181800,,2.56E+13,,1172460,,0.065814926,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1981,19422700,10857800,,2.74E+13,,1741099,,0.08964248,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1982,20879400,10988100,,3.30E+13,,2218617,,0.106258657,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1983,21306300,11603500,,2.71E+13,,1765658,,0.082870231,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1984,22163600,12115400,,2.27E+13,,2538891,,0.114552284,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1985,23397500,12815100,,4.35E+13,,2288256,,0.097799167,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1986,25704100,13497400,,5.02E+13,,2015310,,0.078404223,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1987,27248100,14485600,,2.36E+13,,2594515,,0.095218199,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1988,27321000,16141400,,1.26E+13,,3069659,,0.112355294,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1989,26117900,16874900,,1.26E+13,,3435542,,0.131539749,S Pacific,E
